DesignName,ParticipantID,TrialID,Block1,Condition,Size
Preattentive,16,141,6,Courbure,25
Preattentive,16,142,7,Courbure,36
Preattentive,16,143,8,CourbureTaille,16
Preattentive,16,144,9,Taille,25
Preattentive,17,145,1,Taille,25
Preattentive,17,146,2,CourbureTaille,16
Preattentive,17,147,3,Courbure,16
Preattentive,17,148,4,CourbureTaille,36
Preattentive,17,149,5,Courbure,25
Preattentive,17,150,6,Courbure,36
Preattentive,17,151,7,Taille,16
Preattentive,17,152,8,CourbureTaille,25
Preattentive,17,153,9,Taille,36
Preattentive,18,154,1,Taille,36
Preattentive,18,155,2,CourbureTaille,25
Preattentive,18,156,3,Courbure,25
Preattentive,18,157,4,Courbure,16
Preattentive,18,158,5,Courbure,36
Preattentive,18,159,6,Taille,16
Preattentive,18,160,7,Taille,25
Preattentive,18,161,8,CourbureTaille,36
Preattentive,18,162,9,CourbureTaille,16
